,const,horsepower,carwidth,hatchback,Highend,price
160,1,0.116129032,0.2,0,0,7898
186,1,0.212903226,0.315789474,0,0,7995
59,1,0.206451613,0.421052632,1,0,13645
165,1,0.387096774,0.157894737,0,0,8058
140,1,0.135483871,0.136842105,1,0,5118
64,1,0.206451613,0.421052632,1,0,10245
198,1,0.709677419,0.494736842,0,0,15985
75,1,0.793548387,0.578947368,1,0,40960
172,1,0.412903226,0.326315789,0,0,11199
104,1,0.696774194,0.568421053,1,0,14399
200,1,0.4,0.673684211,0,0,18420
136,1,0.696774194,0.421052632,1,0,15040
111,1,0.277419355,0.621052632,0,0,12440
41,1,0.316129032,0.284210526,0,0,8845
73,1,0.851612903,0.968421053,0,1,34183
31,1,0.15483871,0.147368421,1,0,12964
156,1,0.116129032,0.2,0,0,7898
133,1,0.374193548,0.421052632,0,0,9845
65,1,0.438709677,0.378947368,0,0,10765
83,1,0.6,0.4,1,0,8499
195,1,0.4,0.494736842,0,0,12290
197,1,0.4,0.494736842,0,0,13415
126,1,1,0.263157895,0,1,12764
118,1,0.103225806,0.136842105,1,0,17950
167,1,0.412903226,0.326315789,0,0,9298
101,1,0.64516129,0.421052632,0,0,8949
124,1,0.6,0.4,1,0,7609
69,1,0.458064516,0.821052632,0,1,25552
11,1,0.316129032,0.242105263,0,1,17859.17
46,1,0.24516129,0.284210526,1,0,8916.5
77,1,0.103225806,0.2,1,0,16503
15,1,0.838709677,0.463157895,0,1,21105
110,1,0.277419355,0.621052632,0,0,13200
201,1,0.696774194,0.663157895,0,0,18950
115,1,0.290322581,0.621052632,0,0,16695
174,1,0.135483871,0.421052632,0,0,17669
134,1,0.374193548,0.421052632,1,0,11850
169,1,0.412903226,0.326315789,1,0,8449
92,1,0.109677419,0.136842105,0,0,7099
173,1,0.258064516,0.421052632,0,0,11549
74,1,0.851612903,1,0,1,35056
3,1,0.322580645,0.389473684,0,0,16500
157,1,0.116129032,0.2,1,0,8778
81,1,0.232258065,0.305263158,1,0,7689
32,1,0.051612903,0.157894737,1,0,6479
99,1,0.290322581,0.284210526,1,0,7999
26,1,0.103225806,0.136842105,0,0,6229
88,1,0.412903226,0.305263158,0,0,8189
184,1,0,0.315789474,0,0,7775
187,1,0.103225806,0.315789474,0,0,8195
52,1,0.103225806,0.178947368,1,0,5195
168,1,0.412903226,0.326315789,0,0,9538
164,1,0.116129032,0.157894737,1,0,9258
188,1,0.309677419,0.315789474,0,0,8495
7,1,0.374193548,0.936842105,0,0,15250
158,1,0.025806452,0.2,0,0,6938
123,1,0.232258065,0.221052632,0,0,6692
28,1,0.232258065,0.221052632,0,0,7609
29,1,0.6,0.4,1,0,8558
182,1,0,0.315789474,0,0,15690
40,1,0.219354839,0,0,0,9095
128,1,1,0.263157895,0,1,32528
